risk,authority,tug,n_runs,loss_rate_pct,mean_overrides,mean_end_time
high,adaptive,degraded,50,100.0,5.72,10.0
high,adaptive,delayed,50,100.0,6.22,10.0
high,adaptive,nominal,50,100.0,5.62,10.16
high,baseline,degraded,50,100.0,4.92,10.0
high,baseline,delayed,50,100.0,5.24,10.0
high,baseline,nominal,50,100.0,5.02,10.64
high,proactive,degraded,50,100.0,6.5,10.0
high,proactive,delayed,50,100.0,6.92,10.0
high,proactive,nominal,50,100.0,6.8,10.0
low,adaptive,degraded,50,4.0,15.08,36.0
low,adaptive,delayed,50,0.0,8.32,36.0
low,adaptive,nominal,50,0.0,7.38,36.0
low,baseline,degraded,50,8.0,11.0,34.92
low,baseline,delayed,50,0.0,6.68,36.0
low,baseline,nominal,50,0.0,5.12,36.0
low,proactive,degraded,50,6.0,18.1,35.64
low,proactive,delayed,50,0.0,11.18,36.0
low,proactive,nominal,50,0.0,10.08,36.0
moderate,adaptive,degraded,50,100.0,4.96,16.24
moderate,adaptive,delayed,50,76.0,14.1,26.64
moderate,adaptive,nominal,50,64.0,14.84,27.36
moderate,baseline,degraded,50,100.0,4.36,17.4
moderate,baseline,delayed,50,88.0,6.3,20.52
moderate,baseline,nominal,50,56.0,10.58,26.64
moderate,proactive,degraded,50,98.0,7.5,16.52
moderate,proactive,delayed,50,78.0,15.4,26.28
moderate,proactive,nominal,50,70.0,18.94,29.88
